$ kubectl get events -n streamingapp --sort-by=.lastTimestamp

LAST SEEN   TYPE      REASON                         OBJECT                                                MESSAGE
55m         Normal    Started                        pod/streamingapp-admin-54dfb86b8d-fzv6h               Started container admin
55m         Normal    Created                        pod/streamingapp-admin-54dfb86b8d-fzv6h               Created container: admin
20m         Warning   BackOff                        pod/streamingapp-admin-54dfb86b8d-fzv6h               Back-off restarting failed container admin in pod streamingapp-admin-54dfb86b8d-fzv6h_streamingapp(1c2b5f5d-86f2-4cd8-9453-53ebab4d62b6)
19m         Normal    Pulled                         pod/streamingapp-admin-54dfb86b8d-fzv6h               Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/admin-service:build-20260815075746" already present on machine
16m         Normal    Killing                        pod/streamingapp-frontend-86d567d967-bl9l2            Stopping container frontend
16m         Normal    Killing                        pod/streamingapp-frontend-86d567d967-2mjjs            Stopping container frontend
16m         Normal    Killing                        pod/streamingapp-chat-644f4677c6-lvkjc                Stopping container chat
16m         Normal    Killing                        pod/streamingapp-mongodb-0                            Stopping container mongodb
16m         Warning   BackendNotFound                targetgroupbinding/k8s-streamin-streamin-f4a51ec808   backend not found: Service "streamingapp-frontend" not found
16m         Normal    Killing                        pod/streamingapp-streaming-6957cc685-2dmph            Stopping container streaming
16m         Normal    Killing                        pod/streamingapp-auth-78d6c7cbb5-488z7                Stopping container auth
16m         Normal    Killing                        pod/streamingapp-auth-78d6c7cbb5-5q2ks                Stopping container auth
16m         Normal    Killing                        pod/streamingapp-streaming-6957cc685-htjrj            Stopping container streaming
16m         Normal    SuccessfullyReconciled         targetgroupbinding/k8s-streamin-streamin-f4a51ec808   Successfully reconciled
15m         Normal    NoPods                         poddisruptionbudget/streamingapp-streaming            No matching pods found
15m         Normal    NoPods                         poddisruptionbudget/streamingapp-auth                 No matching pods found
15m         Normal    NoPods                         poddisruptionbudget/streamingapp-frontend             No matching pods found
15m         Normal    SuccessfulCreate               replicaset/streamingapp-admin-69db4448fd              Created pod: streamingapp-admin-69db4448fd-8w6pf
15m         Normal    Created                        pod/streamingapp-admin-69db4448fd-8w6pf               Created container: wait-for-mongo
